基站NE_ID	发生时间
3000003400096972	2017/11/30 0:48:20
3000003400096980	2017/11/30 1:17:24
3000003400088926	2017/11/30 1:26:18
3000003400105218	2017/11/30 1:34:26
1029000201310000	2017/11/30 2:04:04
1041000800030000	2017/11/30 2:07:12
1041000701250000	2017/11/30 3:21:55
4000000224628068	2017/11/30 3:43:11
3000003400099570	2017/11/30 3:48:40
3000003400099592	2017/11/30 3:48:41
3000003400101129	2017/11/30 3:48:41
3000003400099600	2017/11/30 3:48:41
3000003400088337	2017/11/30 3:50:31
3000003400088485	2017/11/30 3:50:31
3000003400086112	2017/11/30 3:50:32
3000003400086249	2017/11/30 3:50:32
3000003400086270	2017/11/30 3:50:33
3000003400094930	2017/11/30 3:50:34
3000003400100574	2017/11/30 3:52:04
3000003400097048	2017/11/30 4:20:44
3000003400099635	2017/11/30 4:33:08
3000003400104741	2017/11/30 4:56:08
4000000224148434	2017/11/30 5:01:28
3000003400099611	2017/11/30 5:03:49
3000003400101128	2017/11/30 5:03:49
3000003400101987	2017/11/30 5:05:35
4000000224134645	2017/11/30 5:19:14
4000000224592820	2017/11/30 5:26:31
3000000200560000	2017/11/30 6:01:08
3000003400098951	2017/11/30 7:04:30
3000003400098907	2017/11/30 7:04:30
3000003400099202	2017/11/30 7:04:33
4000000224604801	2017/11/30 7:05:20
4000000224125233	2017/11/30 7:05:38
3000003400099130	2017/11/30 7:08:33
3000003400101107	2017/11/30 7:08:33
3000003400099322	2017/11/30 7:08:33
3000003400099288	2017/11/30 7:08:33
3000003400099186	2017/11/30 7:08:33
3000003400099079	2017/11/30 7:08:33
3000003400099024	2017/11/30 7:08:33
3000003400101374	2017/11/30 7:08:34
3000003400101511	2017/11/30 7:08:34
4000000224614686	2017/11/30 7:08:59
4000000224573766	2017/11/30 7:08:59
3000003400099485	2017/11/30 7:09:01
3000003400098789	2017/11/30 7:09:01
3000003400099480	2017/11/30 7:09:01
3000003400099512	2017/11/30 7:09:01
3000003400099522	2017/11/30 7:09:01
3000003400101304	2017/11/30 7:09:01
3000003400101360	2017/11/30 7:09:02
3000003400101760	2017/11/30 7:09:02
3000003400101839	2017/11/30 7:09:02
3000003400101596	2017/11/30 7:09:30
3000003400101623	2017/11/30 7:09:30
3000003400102028	2017/11/30 7:09:31
3000003400104921	2017/11/30 7:09:32
3000003400098466	2017/11/30 7:09:33
3000003400099224	2017/11/30 7:09:33
3000003400099046	2017/11/30 7:09:33
3000003400099048	2017/11/30 7:09:33
3000003400098769	2017/11/30 7:09:33
3000003400100961	2017/11/30 7:09:34
3000003400100535	2017/11/30 7:09:34
3000003400098793	2017/11/30 7:09:34
4000000224498224	2017/11/30 7:09:58
3000003400100468	2017/11/30 7:10:01
3000003400098770	2017/11/30 7:10:01
3000003400098838	2017/11/30 7:10:01
3000003400099337	2017/11/30 7:10:33
3000003400102130	2017/11/30 7:12:03
3000003400099104	2017/11/30 7:12:33
3000003400102515	2017/11/30 7:13:02
3000003400087032	2017/11/30 7:13:45
3000003400101702	2017/11/30 7:20:49
3000003400099366	2017/11/30 7:22:33
3000003400099026	2017/11/30 7:22:33
3000003400098786	2017/11/30 7:23:33
3000003400098736	2017/11/30 7:26:34
3000003400099255	2017/11/30 7:34:05
0007001303220000	2017/11/30 7:35:14
3000003400087285	2017/11/30 7:35:21
3000003400098930	2017/11/30 7:35:34
3000003400081005	2017/11/30 7:36:11
3000003400090326	2017/11/30 7:37:38
3000003400098966	2017/11/30 7:41:35
3000003400105627	2017/11/30 7:43:16
3000003400098913	2017/11/30 7:52:33
3000003400104981	2017/11/30 7:52:33
3000003400098920	2017/11/30 7:52:34
3000003400100964	2017/11/30 7:52:34
4000000224143851	2017/11/30 7:53:02
1043000600580000	2017/11/30 7:53:58
3000003400099008	2017/11/30 7:54:07
3000003400087072	2017/11/30 8:00:31
3000003400099028	2017/11/30 8:04:37
3000003400100492	2017/11/30 8:06:36
3000003400098866	2017/11/30 8:06:39
3000003400086896	2017/11/30 8:11:34
3000003400086823	2017/11/30 8:11:34
4000000224465401	2017/11/30 8:11:34
3000003400099529	2017/11/30 8:11:37
3000003400100652	2017/11/30 8:11:37
4000000224149699	2017/11/30 8:12:02
4000000224655774	2017/11/30 8:13:03
4000000224144436	2017/11/30 8:13:03
4000000224303157	2017/11/30 8:15:34
3000003400102031	2017/11/30 8:16:54
3000003400087265	2017/11/30 8:17:33
3000003400087107	2017/11/30 8:17:35
4000000224312017	2017/11/30 8:18:30
4000000224592286	2017/11/30 8:18:57
4000000224625208	2017/11/30 8:18:57
4000000224517292	2017/11/30 8:18:59
4000000224304530	2017/11/30 8:21:34
0007000802980000	2017/11/30 8:23:21
1041000701420000	2017/11/30 8:25:13
3000003400101358	2017/11/30 8:25:35
4000000224311974	2017/11/30 8:25:59
4000000224647716	2017/11/30 8:26:01
4000000224648218	2017/11/30 8:26:01
4000000224647940	2017/11/30 8:26:01
4000000224148917	2017/11/30 8:26:32
3000003400082670	2017/11/30 8:27:51
3000003400092101	2017/11/30 8:27:54
4000000224136301	2017/11/30 8:30:03
3000003400098516	2017/11/30 8:32:13
4000000224313283	2017/11/30 8:33:43
3000003400089668	2017/11/30 8:41:34
3000003400099266	2017/11/30 8:41:44
1041000600600000	2017/11/30 8:43:17
3000003400096213	2017/11/30 8:44:51
1041000400360000	2017/11/30 8:45:09
4000000224293639	2017/11/30 8:56:02
4000000224293636	2017/11/30 8:56:02
3000003400104393	2017/11/30 8:56:13
3000003400104392	2017/11/30 8:56:16
3000003400099170	2017/11/30 8:57:17
4000000224528335	2017/11/30 9:00:32
4000000224673673	2017/11/30 9:00:32
3000003400085037	2017/11/30 9:00:58
3000003400086039	2017/11/30 9:01:05
4000000224128453	2017/11/30 9:01:22
3000003400092817	2017/11/30 9:02:34
3000003400090980	2017/11/30 9:04:36
